,latitude,longitude,jenis_hewan,nama_shelter
0,-8.81596943325718,115.16001626913,Anjing,ILUH SHELTER
1,-8.81902351088607,115.162463026801,Anjing,ILUH SHELTER
2,-8.82424073910568,115.165508328649,Anjing,ILUH SHELTER
3,-8.81065671508527,115.175930986319,Anjing,ILUH SHELTER
4,-8.80907841627713,115.161708869129,Anjing,ILUH SHELTER
5,-8.81576863940973,115.166323442143,Anjing,ILUH SHELTER
6,-8.82314966377992,115.165382814223,Anjing,ILUH SHELTER
7,-8.82052254909541,115.153565713308,Anjing,ILUH SHELTER
8,-8.8142517239221,115.147540957484,Anjing,ILUH SHELTER
9,-8.82750661924351,115.177670280602,Anjing,ILUH SHELTER
10,-8.8073118875557,115.176738715921,Anjing,ILUH SHELTER
11,-8.81547682465617,115.161418615155,Anjing,ILUH SHELTER
12,-8.8355050321284,115.163465382626,Anjing,ILUH SHELTER
13,-8.82981276693631,115.173904712236,Anjing,ILUH SHELTER
14,-8.81982061154699,115.138889857484,Anjing,ILUH SHELTER
15,-8.82161791440951,115.199926317062,Anjing,ILUH SHELTER
16,-8.84238435266582,115.154577759334,Anjing,ILUH SHELTER
17,-8.81851759415369,115.155616807302,Anjing,ILUH SHELTER
18,-8.83426209103226,115.17820889813,Anjing,ILUH SHELTER
19,-8.81986393121431,115.196112299814,Anjing,ILUH SHELTER
20,-8.79037131131753,115.157019698156,Anjing,The Bali Dog Halfway House
21,-8.7886033315675,115.174090300579,Anjing,The Bali Dog Halfway House
22,-8.79464221218673,115.161323942141,Anjing,The Bali Dog Halfway House
23,-8.78714534956603,115.16449720364,Anjing,The Bali Dog Halfway House
24,-8.78522645884673,115.175820501169,Anjing,The Bali Dog Halfway House
25,-8.79791038114883,115.159678780339,Anjing,The Bali Dog Halfway House
26,-8.78507863395407,115.159143398094,Anjing,The Bali Dog Halfway House
27,-8.78874412906409,115.190132026055,Anjing,The Bali Dog Halfway House
28,-8.7768703047692,115.168728643987,Anjing,The Bali Dog Halfway House
29,-8.79654124015107,115.177708829827,Anjing,The Bali Dog Halfway House
30,-8.79145904935314,115.176352829255,Anjing,The Bali Dog Halfway House
31,-8.789196225996,115.158520328646,Anjing,The Bali Dog Halfway House
32,-8.62151866069681,115.176103490434,Kucing,Utiek Cat Day Care
33,-8.62210076016692,115.180700660243,Kucing,Utiek Cat Day Care
34,-8.62477728260081,115.178452481687,Kucing,Utiek Cat Day Care
35,-8.62033570418503,115.17964851592,Kucing,Utiek Cat Day Care
36,-8.62270153133855,115.181276584139,Kucing,Utiek Cat Day Care
37,-8.62335321599438,115.177779798129,Kucing,Utiek Cat Day Care
38,-8.62209945257342,115.178950487085,Kucing,Utiek Cat Day Care
39,-8.62578630506378,115.178817087085,Kucing,Utiek Cat Day Care
40,-8.62110201192027,115.181545462546,Kucing,Utiek Cat Day Care
41,-8.46096900093066,115.298808755606,Anjing,Bali house dog rescue by nia nia
42,-8.45184721893456,115.307379065407,Anjing,Bali house dog rescue by nia nia
43,-8.45582406235283,115.310646986289,Anjing,Bali house dog rescue by nia nia
44,-8.45466755922839,115.300296227708,Anjing,Bali house dog rescue by nia nia
45,-8.42165471501305,115.272194948861,Anjing,Bali house dog rescue by nia nia
46,-8.44062609415247,115.34279388444,Anjing,Bali house dog rescue by nia nia
47,-8.49076842243029,115.313555826773,Anjing,Bali house dog rescue by nia nia
48,-8.48164914423195,115.299107463399,Anjing,Bali house dog rescue by nia nia
49,-8.43393731217667,115.294340779429,Anjing,Bali house dog rescue by nia nia
50,-8.4861616105754,115.314232757456,Anjing,Bali house dog rescue by nia nia
51,-8.50493188031501,115.314409447812,Anjing,Bali house dog rescue by nia nia
52,-8.4572714535648,115.301380970948,Anjing,Bali house dog rescue by nia nia
53,-8.39132335777436,115.295187525722,Anjing,Bali house dog rescue by nia nia
54,-8.56851672427981,115.390510559311,Lainnya,PANGLIMA BIRD FARM BALI ️2019
55,-8.57272188022451,115.368665879595,Lainnya,PANGLIMA BIRD FARM BALI ️2019
56,-8.55005371330454,115.367021003019,Lainnya,PANGLIMA BIRD FARM BALI ️2019
57,-8.55832060652794,115.380695014216,Lainnya,PANGLIMA BIRD FARM BALI ️2019
58,-8.51326672113764,115.265607629838,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
59,-8.49957776074473,115.266948770951,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
60,-8.50233367442217,115.27169530099,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
61,-8.50640249134817,115.272046487084,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
62,-8.50591097504167,115.266042809172,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
63,-8.50640059134789,115.268317304875,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
64,-8.50813378967998,115.266148385886,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
65,-8.50988497337572,115.27415248842,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
66,-8.49219874208826,115.26673087359,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
67,-8.49502843691653,115.25312273371,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
68,-8.49112512515201,115.265530479507,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
69,-8.49791971571746,115.272226242116,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
70,-8.50854498628401,115.275783480337,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
71,-8.51309156622611,115.270249051502,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
72,-8.48268995372632,115.283664867773,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
73,-8.50881612261917,115.257573711433,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
74,-8.51124465539656,115.260972498128,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
75,-8.51079769198652,115.269486751502,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
76,-8.50874391380348,115.26934495876,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
77,-8.50751790767919,115.271305215919,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
78,-8.50368296544612,115.258170315884,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
79,-8.50352186078979,115.265124642116,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
80,-8.50432675734168,115.267118934771,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
81,-8.50323168543896,115.267348987084,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
82,-8.50534956376096,115.272612043964,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
83,-8.50178420161584,115.269775080337,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
84,-8.48524352272303,115.264555482041,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
85,-8.49547788976291,115.266733087084,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
86,-8.50870638700113,115.279914142117,Anjing,BARC 4 BALI DOGS - Bali Adoption Rehab Centre
87,-8.54749692451086,115.260717288145,Anjing,BAWA (Bali Animal Welfare Association) Main Office
88,-8.54511263654654,115.266528308429,Anjing,BAWA (Bali Animal Welfare Association) Main Office
89,-8.55222281722148,115.262781198875,Anjing,BAWA (Bali Animal Welfare Association) Main Office
90,-8.54026496650996,115.262458183533,Anjing,BAWA (Bali Animal Welfare Association) Main Office
91,-8.54596420445918,115.254833657461,Anjing,BAWA (Bali Animal Welfare Association) Main Office
92,-8.54533550875508,115.272843771887,Anjing,BAWA (Bali Animal Welfare Association) Main Office
93,-8.56848555149121,115.261318530476,Anjing,BAWA (Bali Animal Welfare Association) Main Office
94,-8.53090511260987,115.264038962715,Anjing,BAWA (Bali Animal Welfare Association) Main Office
